Pilar,16,Bot Me la Juego,9,15
Juan,4,Rey del envido,32,30
Pilar,27,Señor Truco,31,30
Olenka,15,Bot Me la Juego,9,15
Narda,16,El Chamuyador,3,15
Narda,13,Rey del envido,15,15
